MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210413,CA,0.78,5.09,17.16,38.29,33.32,5.36,4/13/2021,4/19/2021,2
20210406,CA,0.77,6.58,22.97,34.27,30.06,5.36,4/6/2021,4/12/2021,2
20210330,CA,0.77,8.57,26.64,32.26,26.4,5.36,3/30/2021,4/5/2021,2
20210323,CA,0.7,8.64,26.64,32.26,26.4,5.36,3/23/2021,3/29/2021,2
20210316,CA,0.78,8.6,32.03,29.05,25.79,3.75,3/16/2021,3/22/2021,2
20210309,CA,0.75,8.36,32.3,29.05,25.79,3.75,3/9/2021,3/15/2021,2
20210302,CA,0.75,8.36,33.91,27.44,25.79,3.75,3/2/2021,3/8/2021,2
20210223,CA,0.7,14.41,27.9,27.44,25.79,3.75,2/23/2021,3/1/2021,2
20210216,CA,0.7,14.41,27.3,26.59,27.24,3.75,2/16/2021,2/22/2021,2
20210209,CA,0.64,14.26,27.23,26.46,27.66,3.75,2/9/2021,2/15/2021,2
20210202,CA,0,14.01,27.54,26.79,27.9,3.75,2/2/2021,2/8/2021,2
20210126,CA,0,4.8,19.46,36.28,35.6,3.86,1/26/2021,2/1/2021,2
20210119,CA,0,4.8,17.08,38.66,38.27,1.19,1/19/2021,1/25/2021,2
20210112,CA,0,4.8,16.1,39.6,38.31,1.19,1/12/2021,1/18/2021,2
20210105,CA,0,4.8,20.85,40.51,32.65,1.19,1/5/2021,1/11/2021,2
20201229,CA,0,4.83,20.82,40.59,32.56,1.19,12/29/2020,1/4/2021,2
20201222,CA,0,4.83,20.82,40.59,32.56,1.19,12/22/2020,12/28/2020,2
20201215,CA,0,4.83,20.82,40.59,32.56,1.19,12/15/2020,12/21/2020,2
20201208,CA,0,4.83,28.38,45.5,21.3,0,12/8/2020,12/14/2020,2
20201201,CA,3.46,21.51,26.84,28.83,19.36,0,12/1/2020,12/7/2020,2
20201124,CA,3.5,21.47,26.84,28.83,19.36,0,11/24/2020,11/30/2020,2
20201117,CA,15.61,13.47,29.66,25.42,15.83,0,11/17/2020,11/23/2020,2
20201110,CA,15.48,13.61,29.66,25.42,15.83,0,11/10/2020,11/16/2020,2
20201103,CA,15.48,16.98,31.93,22.87,12.74,0,11/3/2020,11/9/2020,2
20201027,CA,15.4,17.06,31.93,22.87,12.74,0,10/27/2020,11/2/2020,2
20201020,CA,15.4,17.06,31.93,22.87,12.74,0,10/20/2020,10/26/2020,2
20201013,CA,15.4,17.06,31.93,22.87,12.74,0,10/13/2020,10/19/2020,2
20201006,CA,15.4,17.06,31.93,22.87,12.74,0,10/6/2020,10/12/2020,2
20200929,CA,15.35,17,32.03,22.88,12.74,0,9/29/2020,10/5/2020,2
20200922,CA,15.62,17.29,31.82,31.88,3.39,0,9/22/2020,9/28/2020,2
20200915,CA,15.62,17.29,31.83,32.09,3.17,0,9/15/2020,9/21/2020,2
20200908,CA,20.45,25.37,21.21,29.93,3.04,0,9/8/2020,9/14/2020,2
20200901,CA,20.39,25.23,22.6,28.74,3.04,0,9/1/2020,9/7/2020,2
20200825,CA,20.55,25.07,22.49,28.84,3.04,0,8/25/2020,8/31/2020,2
20200818,CA,20.55,25.24,32.5,18.67,3.04,0,8/18/2020,8/24/2020,2
20200811,CA,33.74,15.87,28.67,18.67,3.04,0,8/11/2020,8/17/2020,2
